Autor,Primeiro Nome,Titulos
 Everton Cavalcante,Everton,Um Sistema de Gerenciamento e Automação de Climatização para Eficiência Energética
Bruno N. M. S. Conte,Bruno,"Clusterização, Classificação e Predição de ""Pré-Efeito Anódico"" de cuba de redução de alumínio primário"
 Thiago N.M. S. Conte,Thiago,"Clusterização, Classificação e Predição de ""Pré-Efeito Anódico"" de cuba de redução de alumínio primário"
 Roberto C. L. de Oliveira,Roberto,"Clusterização, Classificação e Predição de ""Pré-Efeito Anódico"" de cuba de redução de alumínio primário"
Rogério Albandes,Rogério,I2WAC: Uma Proposta para Gerenciamento de Irrigação Explorando Ciência de Situação na IoT
 Roger Machado,Roger,I2WAC: Uma Proposta para Gerenciamento de Irrigação Explorando Ciência de Situação na IoT
 João Lopes,João,I2WAC: Uma Proposta para Gerenciamento de Irrigação Explorando Ciência de Situação na IoT
 Ana Marilza Pernas,Ana,I2WAC: Uma Proposta para Gerenciamento de Irrigação Explorando Ciência de Situação na IoT
 Adenauer Yamin,Adenauer,I2WAC: Uma Proposta para Gerenciamento de Irrigação Explorando Ciência de Situação na IoT
Ismael Araújo Ramos,Ismael,Predição Just-In-Time de Defeitos em Software Utilizando Inteligência Artificial
 Márcio André Baima Amora,Márcio,Predição Just-In-Time de Defeitos em Software Utilizando Inteligência Artificial
Marcela Pessoa,Marcela,Detecção de áreas de clareiras na Floresta Amazônica através de monitoramento via satélite usando técnicas de aprendizagem de máquina
 Robson Melo,Robson,Detecção de áreas de clareiras na Floresta Amazônica através de monitoramento via satélite usando técnicas de aprendizagem de máquina
 Adrisson Rodrigues,Adrisson,Detecção de áreas de clareiras na Floresta Amazônica através de monitoramento via satélite usando técnicas de aprendizagem de máquina
 Sergio Cleger,Sergio,Detecção de áreas de clareiras na Floresta Amazônica através de monitoramento via satélite usando técnicas de aprendizagem de máquina
 João Marcos Cavalcanti,João,Detecção de áreas de clareiras na Floresta Amazônica através de monitoramento via satélite usando técnicas de aprendizagem de máquina
 Rasiane de Freitas,Rasiane,Detecção de áreas de clareiras na Floresta Amazônica através de monitoramento via satélite usando técnicas de aprendizagem de máquina
Savio Lopes Rabelo,Savio,Detecção de cor da pele na melhoria do redimensionamento de imagem baseado em conteúdo
 Tamara Arruda Pereira,Tamara,Detecção de cor da pele na melhoria do redimensionamento de imagem baseado em conteúdo
 Francisco Nivando Bezerra,Francisco,Detecção de cor da pele na melhoria do redimensionamento de imagem baseado em conteúdo
Rita de C. P. Cunha,Rita,Meta-heurı́stica para Alocação de Recursos Aplicada a Redes de Acesso Centralizado
 Rafael F. Vieira,Rafael,Meta-heurı́stica para Alocação de Recursos Aplicada a Redes de Acesso Centralizado
 Paulo H. A. Pereira,Paulo,Meta-heurı́stica para Alocação de Recursos Aplicada a Redes de Acesso Centralizado
 Igor W. A. Falcão,Igor,Meta-heurı́stica para Alocação de Recursos Aplicada a Redes de Acesso Centralizado
 Daniel da A. Souza,Daniel,Meta-heurı́stica para Alocação de Recursos Aplicada a Redes de Acesso Centralizado
 Diego L. Cardoso,Diego,Meta-heurı́stica para Alocação de Recursos Aplicada a Redes de Acesso Centralizado
Daniel M. Kuhn,Daniel,Uma abordagem para extração de elementos textuais em imagens com linhas de texto inclinadas
 Cristiano R. Cervi,Cristiano,Uma abordagem para extração de elementos textuais em imagens com linhas de texto inclinadas
 Edimar Mânica,Edimar,Uma abordagem para extração de elementos textuais em imagens com linhas de texto inclinadas
