Autor,Primeiro Nome,Titulos
 Braulio  Mello,Braulio,Closing the Gap Between Lookahead and Checkpointing to Provide Hybrid Synchronization
Leandro Rodrigues Ramos,Leandro,Geração Semiautomática de Valores de Referência para Identificação de Obstruções em Lingotamento Contínuo
 Karin   Satie Komati,Karin,Geração Semiautomática de Valores de Referência para Identificação de Obstruções em Lingotamento Contínuo
 Francisco   de Assis Boldt,Francisco,Geração Semiautomática de Valores de Referência para Identificação de Obstruções em Lingotamento Contínuo
 Jefferson   Oliveira Andrade,Jefferson,Geração Semiautomática de Valores de Referência para Identificação de Obstruções em Lingotamento Contínuo
Libério Silva,Libério,An experimental analysis of a GP hyperheuristic approach for evolving low-cost heuristics for profile reductions
 Sanderson Gonzaga de Oliveira,Sanderson,An experimental analysis of a GP hyperheuristic approach for evolving low-cost heuristics for profile reductions
Alan Fernandes,Alan,Monitorando Dados e Gerenciando Alertas em um Sistema para Controle de Aparelhos de Ar Condicionado
 Felipe Rocha,Felipe,Monitorando Dados e Gerenciando Alertas em um Sistema para Controle de Aparelhos de Ar Condicionado
 Bruna Soares,Bruna,Monitorando Dados e Gerenciando Alertas em um Sistema para Controle de Aparelhos de Ar Condicionado
 Bruno   Matias,Bruno,Monitorando Dados e Gerenciando Alertas em um Sistema para Controle de Aparelhos de Ar Condicionado
 Oswaldo de Oliveira,Oswaldo,Monitorando Dados e Gerenciando Alertas em um Sistema para Controle de Aparelhos de Ar Condicionado
 Sâmela Ferreira,Sâmela,Monitorando Dados e Gerenciando Alertas em um Sistema para Controle de Aparelhos de Ar Condicionado
 Thais Batista,Thais,Monitorando Dados e Gerenciando Alertas em um Sistema para Controle de Aparelhos de Ar Condicionado
 Everton Cavalcante,Everton,Monitorando Dados e Gerenciando Alertas em um Sistema para Controle de Aparelhos de Ar Condicionado
Patrick Fernandes,Patrick,Um Framework Fuzzy para Suporte à Seleção em Regime de Incerteza de Recursos na IoT
 Renato Dilli,Renato,Um Framework Fuzzy para Suporte à Seleção em Regime de Incerteza de Recursos na IoT
 Renata Reiser,Renata,Um Framework Fuzzy para Suporte à Seleção em Regime de Incerteza de Recursos na IoT
 Adenauer Yamin,Adenauer,Um Framework Fuzzy para Suporte à Seleção em Regime de Incerteza de Recursos na IoT
Richardson Santiago Teles de Menezes,Richardson,Mice Tracking Using The YOLO Algorithm
 John Victor Alves  Luiz,John,Mice Tracking Using The YOLO Algorithm
 Aron Miranda Henrique-Alves,Aron,Mice Tracking Using The YOLO Algorithm
 Rossana Moreno Santa Cruz,Rossana,Mice Tracking Using The YOLO Algorithm
 Helton   Maia,Helton,Mice Tracking Using The YOLO Algorithm
Walkir Brito,Walkir,Sistema de Informações de Milícias: Proposta de um Arcabouço Analítico para Análise de Textos em Dados de Denúncia
 Claudia  Motta,Claudia,Sistema de Informações de Milícias: Proposta de um Arcabouço Analítico para Análise de Textos em Dados de Denúncia
 Paulo  Roberto Filho,Paulo,Sistema de Informações de Milícias: Proposta de um Arcabouço Analítico para Análise de Textos em Dados de Denúncia
 Zeca   Borges,Zeca,Sistema de Informações de Milícias: Proposta de um Arcabouço Analítico para Análise de Textos em Dados de Denúncia
Julia Luiza da Conceição,Julia,Reconhecendo gêneros musicais brasileiros com técnicas de aprendizagem de máquina supervisionada
 Rosiane  de Freitas,Rosiane,Reconhecendo gêneros musicais brasileiros com técnicas de aprendizagem de máquina supervisionada
 Bruno   Gadelha,Bruno,Reconhecendo gêneros musicais brasileiros com técnicas de aprendizagem de máquina supervisionada
 João Gustavo Kienen,João,Reconhecendo gêneros musicais brasileiros com técnicas de aprendizagem de máquina supervisionada
 Sérgio Anders,Sérgio,Reconhecendo gêneros musicais brasileiros com técnicas de aprendizagem de máquina supervisionada
 Brendo Cavalcante,Brendo,Reconhecendo gêneros musicais brasileiros com técnicas de aprendizagem de máquina supervisionada
Rogério Albandes,Rogério,Pontuações de Rastreamento em Hospitais: Uma Proposta de Avaliação Baseada em Históricos de Contexto
 Roger Machado,Roger,Pontuações de Rastreamento em Hospitais: Uma Proposta de Avaliação Baseada em Históricos de Contexto
 Adenauer Yamin,Adenauer,Pontuações de Rastreamento em Hospitais: Uma Proposta de Avaliação Baseada em Históricos de Contexto
Daniel Victor Teixeira Lima,Daniel,Otimização de Redes de Comunicação de Dados como Suporte à Implantação de Smart Grids.
 Vanilze Vaz,Vanilze,Otimização de Redes de Comunicação de Dados como Suporte à Implantação de Smart Grids.
 Francisco  de Albuquerque Júnior,Francisco,Otimização de Redes de Comunicação de Dados como Suporte à Implantação de Smart Grids.
 Marcelino Silva da Silva,Marcelino,Otimização de Redes de Comunicação de Dados como Suporte à Implantação de Smart Grids.
Cristiano Galafassi,Cristiano,EvoLogic: Sistema Tutor Inteligente para Ensino de Lógica
 Fabiane Galafassi,Fabiane,EvoLogic: Sistema Tutor Inteligente para Ensino de Lógica
 Eliseo  Reategui,Eliseo,EvoLogic: Sistema Tutor Inteligente para Ensino de Lógica
 Rosa   Vicari,Rosa,EvoLogic: Sistema Tutor Inteligente para Ensino de Lógica
Geovanna Evelyn Taype Espinoza,Geovanna,Designing Socially-Aware Persuasive Systems: a Proposed Framework
 Maria Cecilia Calani Baranauskas,Maria,Designing Socially-Aware Persuasive Systems: a Proposed Framework
Felipe Rocha,Felipe,Exploração do Espaço de Regras Conservativas Binárias com Vizinhança de Moore
 Pedro Paulo  Balbi,Pedro,Exploração do Espaço de Regras Conservativas Binárias com Vizinhança de Moore
Mateus Eloi da Silva Bastos,Mateus,Vehicle Speed Detection and Safety Distance Estimation Using Aerial Images of Brazilian Highways
 Vitor Yeso Fidelis Freitas,Vitor,Vehicle Speed Detection and Safety Distance Estimation Using Aerial Images of Brazilian Highways
 Richardson Santiago Teles de Menezes,Richardson,Vehicle Speed Detection and Safety Distance Estimation Using Aerial Images of Brazilian Highways
 Helton   Maia,Helton,Vehicle Speed Detection and Safety Distance Estimation Using Aerial Images of Brazilian Highways
Henrique Camacho Farias,Henrique,Selecão de documentos baseado em centróides para classificacão de patentes usando Word2Vec e KNN
 Andreia Gentil Bonfante,Andreia,Selecão de documentos baseado em centróides para classificacão de patentes usando Word2Vec e KNN
 Claudia  Aparecida Martins,Claudia,Selecão de documentos baseado em centróides para classificacão de patentes usando Word2Vec e KNN
