,nome,ratio,genero_real,genero_predito_SVM,genero_predito_CNN,genero_predito_BiLSTM
97290,elbanira,1.0,F,F,1,1
29461,francidelson,1.0,M,M,1,1
63470,nilcineide,1.0,F,F,1,1
65230,oneil,1.0,M,M,1,1
82740,wandecy,1.0,M,M,1,1
99354,hiorrane,1.0,F,F,1,1
48991,keliton,1.0,M,M,1,1
46967,judvan,1.0,M,M,1,1
8424,audelene,1.0,F,F,1,1
9152,azer,1.0,M,M,1,1
70405,rody,0.5079365079365079,M,M,1,1
71515,rosidete,1.0,F,F,1,1
95139,doilson,1.0,M,M,1,1
92987,brun,0.6947674418604651,M,M,1,1
43140,jessel,1.0,M,M,1,1
49214,kennede,1.0,M,M,1,1
98174,thayllor,1.0,M,M,1,1
69543,richelmy,1.0,M,M,0,1
35131,heilane,1.0,F,F,1,1
92961,cauam,0.9846424974823766,M,M,1,1
25709,enza,1.0,F,F,1,1
80266,valmice,1.0,F,F,0,1
32934,giovannina,1.0,F,F,0,1
78978,uerli,1.0,M,M,1,1
10333,calila,1.0,F,F,0,1
14601,criscila,1.0,F,F,1,1
64430,ocielio,1.0,M,M,0,1
65576,oriovaldo,1.0,M,M,1,1
24593,elnio,1.0,M,M,0,1
52252,leovir,0.5906040268456376,F,M,0,1
89442,rosama,1.0,F,F,1,1
56576,marci,0.6812080536912751,F,F,1,1
23594,elidea,1.0,F,F,1,1
47833,kadige,1.0,F,F,1,1
748,adejanira,1.0,F,F,1,1
20246,dorothy,1.0,F,F,1,1
38458,ipolito,1.0,M,M,1,1
93199,laeissa,1.0,F,F,1,1
55767,mael,1.0,M,M,0,1
31448,geria,1.0,F,F,1,1
10352,calise,1.0,F,F,0,1
98949,klark,1.0,M,M,1,1
94419,luceilde,1.0,F,F,1,1
21585,edimilso,1.0,M,M,0,1
3141,alcimara,1.0,F,F,1,1
27516,eunes,1.0,M,M,1,1
20658,dyonathan,1.0,M,M,1,1
82289,walcilene,1.0,F,F,0,1
69355,rharison,1.0,M,M,1,1
64346,nylson,1.0,M,M,1,1
20183,dorisneide,1.0,F,F,1,1
37161,idelane,1.0,F,F,1,1
80339,valnida,1.0,F,F,1,1
34912,harrysson,1.0,M,M,1,1
43304,jeyse,1.0,F,F,1,1
82006,vitorina,1.0,F,F,1,1
50736,larisa,0.995542406311637,F,F,1,1
35691,herasmo,1.0,M,M,1,1
50813,lauce,1.0,F,F,0,1
78451,tiziana,1.0,F,F,1,1
89156,edicar,1.0,M,M,0,1
79688,valdeney,1.0,M,M,1,1
10942,castorino,1.0,M,M,1,1
32267,gilbetania,1.0,F,F,1,1
76882,tanicler,1.0,F,M,0,1
49032,kellyane,1.0,F,F,1,1
39027,isabelita,1.0,F,F,1,1
43524,jhonney,1.0,M,M,1,1
34841,hansen,1.0,M,M,1,1
95291,aldenides,1.0,F,F,1,1
81359,venivaldo,1.0,M,M,1,1
75832,suelio,1.0,M,M,1,1
55667,macir,1.0,M,M,0,1
34753,hallison,1.0,M,M,0,1
45414,josangela,1.0,F,F,1,1
72567,saadya,1.0,F,F,1,1
55716,maday,1.0,F,F,1,1
62909,neuraides,1.0,F,F,1,1
286,aciel,1.0,M,M,1,1
98070,micala,1.0,F,F,1,1
82930,warison,1.0,M,M,1,1
9519,benilma,1.0,F,F,0,1
56330,manduca,1.0,M,F,1,1
78123,theonila,1.0,F,F,1,1
97517,mirreli,1.0,F,F,0,1
55845,magdiel,0.9852941176470588,M,M,1,1
54855,ludmar,0.6745562130177515,M,M,1,1
45281,jorgiano,1.0,M,M,1,1
1585,adleuza,1.0,F,F,1,1
69341,rhanielle,1.0,F,F,1,1
63359,niely,1.0,F,F,1,1
40712,jadia,1.0,F,F,0,1
13026,cleberton,1.0,M,M,1,1
29409,francerlane,1.0,F,F,1,1
17488,deonila,1.0,F,F,1,1
87438,aliany,1.0,F,F,1,1
57028,mariciane,1.0,F,F,0,1
12683,claudevam,1.0,M,M,1,1
26787,esio,1.0,M,M,1,1
22499,edvardes,1.0,M,M,1,1
28368,eysla,1.0,F,F,1,1
28117,evenilson,1.0,M,M,1,1
70944,ronisvaldo,1.0,M,M,1,1
510,adalipio,1.0,M,M,1,1
55555,mabiana,1.0,F,F,1,1
98915,apaulo,1.0,M,M,1,1
5910,andreick,1.0,M,M,1,1
98351,walta,1.0,F,F,1,1
86844,gabreili,1.0,F,F,0,1
19177,diolindo,1.0,M,M,1,1
7551,arivalter,1.0,M,M,1,1
42682,jenair,0.5490196078431373,F,M,0,1
8001,arzelino,1.0,M,M,1,1
97694,stefaniy,1.0,F,F,1,1
3816,aleli,1.0,F,F,1,1
59699,milde,1.0,F,F,1,1
55940,maiander,1.0,M,M,1,1
44928,jonai,1.0,M,M,1,1
63416,nilbert,1.0,M,M,0,1
49372,keslem,0.5,F,F,1,1
97348,zaleia,1.0,F,F,1,1
59453,michaell,1.0,M,M,1,1
80642,vandeildo,1.0,M,M,1,1
15847,darcieli,1.0,F,F,1,1
41944,jardene,0.936685288640596,F,F,1,1
17769,deucilia,1.0,F,F,1,1
42965,jerlian,1.0,M,M,1,1
42894,jerberson,1.0,M,M,0,1
18987,dinaise,1.0,F,F,1,1
41970,jardielle,1.0,F,F,1,1
23665,eliege,0.985947161326588,F,F,0,1
92896,claudinha,1.0,F,F,1,1
22456,edvanda,1.0,F,F,1,1
44842,joize,1.0,F,F,0,1
81247,vedson,1.0,M,M,1,1
70895,ronifon,1.0,M,M,0,1
42928,jerfferson,1.0,M,M,1,1
83314,wellingtom,1.0,M,M,1,1
49576,ketula,1.0,F,F,1,1
32820,gin,1.0,M,M,1,1
50559,laldiane,1.0,F,F,1,1
26415,erly,0.5884244372990354,F,F,1,1
2842,albanita,1.0,F,F,1,1
45302,jorgivaldo,1.0,M,M,1,1
98765,deiciele,1.0,F,F,1,1
42189,jassiane,1.0,F,F,1,1
41224,jamilda,1.0,F,F,1,1
42726,jenica,1.0,F,F,0,1
86589,pauulo,1.0,M,M,1,1
99900,sina,1.0,F,F,1,1
65348,ophelia,1.0,F,F,0,1
21317,edielto,1.0,M,M,1,1
9670,bernardes,1.0,M,M,1,1
20586,durvalino,0.9949980761831474,M,M,1,1
12953,clauza,1.0,F,F,1,1
4013,alexia,0.9905877833269304,F,F,1,1
12211,cirlane,0.9707673568818516,F,F,1,1
57509,marisane,1.0,F,F,1,1
11343,celui,1.0,F,F,0,1
93068,merele,1.0,F,F,1,1
11280,celisa,1.0,F,F,0,1
55906,magui,1.0,F,F,1,1
62670,nercilene,1.0,F,F,0,1
41350,janaldo,1.0,M,M,1,1
50439,laici,1.0,F,F,0,1
98323,josida,1.0,F,F,1,1
10826,carolino,1.0,M,M,1,1
66667,patryc,1.0,M,M,1,1
76284,swellen,1.0,F,F,1,1
45404,josamar,1.0,M,M,1,1
10482,carcio,1.0,M,M,1,1
36369,hiranildo,1.0,M,M,1,1
11287,celisvaldo,1.0,M,M,0,1
79464,valcira,1.0,F,F,0,1
66805,percival,1.0,M,M,1,1
99690,carvalho,0.7227722772277227,M,M,1,1
18115,deverci,0.6538461538461539,M,M,1,1
21126,ederlucio,1.0,M,M,1,1
65451,ordeci,1.0,M,M,1,1
100603,aeder,1.0,M,M,1,1
73729,senilva,1.0,F,F,1,1
48976,keline,1.0,F,F,0,1
88515,aldeno,1.0,M,M,1,1
15578,danatieli,1.0,F,F,1,1
35253,helenise,1.0,F,F,1,1
34854,hariadne,1.0,F,F,1,1
89963,jlia,1.0,F,F,1,1
31761,gesiana,1.0,F,F,1,1
93779,edilis,1.0,F,F,1,1
63845,niuza,1.0,F,F,1,1
10450,candisse,1.0,F,F,1,1
31695,gertulio,1.0,M,M,1,1
6324,angenilda,1.0,F,F,1,1
36992,ibrahin,1.0,M,M,1,1
56072,mailu,1.0,F,M,0,1
47525,juscileia,1.0,F,F,0,1
18864,dilmo,1.0,M,M,1,1
90777,jerfesom,1.0,M,M,1,1
54790,lucylla,1.0,F,F,1,1
43463,jhoane,1.0,F,M,1,1
54296,luanir,1.0,F,F,1,1
60647,mycaela,1.0,F,F,1,1
37503,ighor,1.0,M,M,1,1
33992,gomercino,1.0,M,M,0,1
44739,joici,0.9720670391061452,F,F,0,1
9299,bebeto,1.0,M,M,1,1
32422,gildener,1.0,M,M,1,1
93616,arold,1.0,M,M,1,1
82371,waldeque,1.0,M,M,1,1
34851,hardi,0.8666666666666667,M,M,1,1
52364,letonio,1.0,M,M,1,1
37417,idolo,1.0,M,M,1,1
57351,marine,0.9834004024144868,F,F,0,1
72556,ryoichi,1.0,M,M,1,1
88587,zenize,1.0,F,F,1,1
75934,suiam,1.0,F,M,1,1
79348,vaide,0.5111111111111111,F,F,1,1
87454,wastir,1.0,F,M,0,1
26015,erick,0.9881885856079404,M,M,0,1
69489,riccelli,1.0,M,F,1,1
60518,mosart,1.0,M,F,1,1
5621,anameri,1.0,F,F,1,1
35216,heleida,1.0,F,F,1,1
60832,nadieje,1.0,F,F,0,1
32532,giliadi,1.0,M,F,1,1
54558,lucileda,1.0,F,F,1,1
6556,anneli,1.0,F,F,1,1
70717,ronalda,0.9107806691449816,F,F,1,1
89283,edijelma,1.0,F,F,0,1
23918,elineth,1.0,F,F,1,1
8210,atanair,0.7473684210526316,M,M,1,1
81077,vanissa,1.0,F,F,1,1
93662,ajailson,1.0,M,M,1,1
52367,letticya,1.0,F,F,1,1
49002,kelley,1.0,F,F,1,1
35852,hermane,1.0,M,F,1,1
51175,lavinie,1.0,F,F,0,1
89724,ketilim,1.0,F,F,1,1
96448,divini,1.0,M,F,0,1
2965,albes,1.0,M,M,1,1
13520,clenilse,1.0,F,F,1,1
6532,anja,1.0,F,F,1,1
47131,julienne,1.0,F,F,1,1
61186,naise,1.0,F,F,1,1
37651,ilco,1.0,M,M,0,1
32192,gidione,1.0,M,M,1,1
12836,claudionisio,1.0,M,M,0,1
28800,felicissimo,1.0,M,M,1,1
44171,jocemiro,1.0,M,M,0,1
70734,ronalth,1.0,M,M,1,1
95399,rosilina,1.0,F,F,0,1
55841,magdalia,1.0,F,F,1,1
93870,jeilsson,1.0,M,M,1,1
96659,nathalin,1.0,F,F,1,1
67093,pompeu,1.0,M,M,1,1
64039,noemea,1.0,F,F,0,1
6296,angelio,1.0,M,M,1,1
37727,ildenis,1.0,F,F,1,1
44986,joneir,1.0,M,M,0,1
77068,tasia,1.0,F,F,1,1
86006,elerina,1.0,F,F,0,1
55983,maidana,1.0,F,F,1,1
7283,aridne,1.0,F,F,1,1
9372,belisia,1.0,F,F,0,1
65275,onezinda,1.0,F,F,1,1
68375,raveli,0.6050955414012739,M,F,0,1
29310,frabcisco,1.0,M,M,1,1
93706,jordeam,1.0,M,M,1,1
71234,rosejane,1.0,F,F,1,1
7801,arnold,1.0,M,M,1,1
9929,bohdan,1.0,M,M,1,1
77668,thailane,1.0,F,F,1,1
63161,niana,1.0,F,F,1,1
77098,tate,1.0,F,F,1,1
19308,diorde,1.0,M,M,1,1
27981,evanil,0.5154483798040693,M,M,1,1
9514,benilce,1.0,F,F,0,1
91687,maleide,1.0,F,F,1,1
525,adalmira,1.0,F,F,1,1
52939,lili,0.9513258263712314,F,F,1,1
64944,olcimar,1.0,M,M,0,1
38374,iollanda,1.0,F,F,1,1
63041,neuziane,1.0,F,F,1,1
19147,diogenis,1.0,M,M,1,1
3864,alenize,1.0,F,F,1,1
85670,ziraldo,1.0,M,M,1,1
65504,orestes,0.9935825892857144,M,M,1,1
13283,cleidir,0.7335701598579041,M,M,0,1
84656,yanca,1.0,F,F,1,1
31640,gersiel,1.0,M,M,1,1
25408,enedilson,1.0,M,M,1,1
53768,loghan,1.0,M,M,1,1
60183,missicleide,1.0,F,F,1,1
13775,cleube,0.8591549295774648,M,M,0,1
37902,ilnaria,1.0,F,F,1,1
52701,licomedio,1.0,M,M,1,1
82373,walderci,1.0,M,M,1,1
72242,rubis,1.0,M,M,0,1
4757,alua,1.0,F,F,1,1
62237,neilany,1.0,F,F,1,1
77633,thael,1.0,M,M,1,1
97012,virjinia,1.0,F,F,1,1
57364,marineiz,1.0,F,F,1,1
25971,ergidio,1.0,M,M,0,1
89710,jalissom,1.0,M,M,1,1
14740,cristhoper,1.0,M,M,1,1
47232,julma,1.0,F,F,1,1
51219,layenne,1.0,F,F,1,1
27678,eusangela,1.0,F,F,1,1
73971,sharles,1.0,M,M,1,1
50456,laiene,1.0,F,F,0,1
46994,jugleide,1.0,F,F,1,1
77013,tarissa,1.0,F,F,1,1
75304,solangen,1.0,F,F,1,1
5835,anderon,1.0,M,M,1,1
44851,jolandia,1.0,F,F,1,1
23057,eldivan,1.0,M,M,1,1
46271,jovacir,1.0,M,M,1,1
13786,cleuciana,1.0,F,F,0,1
22117,edmilla,1.0,F,F,1,1
27724,eutalina,1.0,F,F,1,1
79190,urani,0.6783625730994152,F,F,1,1
24789,elua,1.0,F,F,1,1
25412,enedio,1.0,M,M,1,1
11976,cidivan,1.0,M,M,1,1
72222,rubilei,1.0,M,M,0,1
10534,carison,1.0,M,M,1,1
36932,iascara,1.0,F,F,1,1
75089,sirleis,1.0,F,F,1,1
66166,otair,0.9770813844714686,M,M,0,1
60277,moabio,1.0,M,M,1,1
86756,elisenir,1.0,F,F,0,1
90183,aurin,1.0,M,M,1,1
3025,alcemar,0.9882491186839012,M,M,1,1
56803,mardenio,1.0,M,M,1,1
100412,cinelda,1.0,F,F,1,1
90735,mauricii,1.0,M,M,0,1
65658,orleano,1.0,M,M,1,1
8584,aurelia,0.9947404527784128,F,F,1,1
48040,kalitta,1.0,F,F,0,1
49269,kerisson,1.0,M,M,1,1
64197,normacy,1.0,F,F,1,1
74779,silvineide,1.0,F,F,1,1
69938,rivalda,0.9749430523917996,F,F,1,1
80856,vandre,1.0,M,M,1,1
81586,veronique,1.0,F,M,1,1
85586,zildomar,0.9429735234215886,M,M,1,1
28706,farlei,0.9815880322209436,M,M,1,1
43331,jezu,1.0,M,M,1,1
89841,frankelino,1.0,M,M,1,1
51551,leidimar,0.8184722625617195,F,F,1,1
57513,marisanta,1.0,F,F,1,1
33498,glaudison,1.0,M,M,1,1
66234,otiniel,1.0,M,M,1,1
59494,michella,1.0,F,F,1,1
45337,jorlei,1.0,M,M,1,1
95207,asivaldo,1.0,M,M,1,1
56172,maiude,1.0,F,F,1,1
36017,hestefani,1.0,F,F,1,1
92956,aileen,1.0,F,F,1,1
87179,lusileia,1.0,F,F,1,1
51754,lelino,1.0,M,M,0,1
34890,harllan,1.0,M,M,1,1
72005,rozenilde,1.0,F,F,1,1
706,adeilmo,1.0,M,M,1,1
96733,guilian,0.5111111111111111,M,M,1,1
54887,lue,1.0,F,M,1,1
38709,ireda,1.0,F,F,1,1
50180,krisllen,1.0,F,F,1,1
9329,belanisa,1.0,F,F,1,1
33439,glaucielen,1.0,F,F,0,1
1441,adineide,1.0,F,F,1,1
55703,maculada,1.0,F,F,1,1
68937,relyson,1.0,M,M,1,1
6094,andrizia,1.0,F,F,1,1
87876,jisimar,1.0,M,M,1,1
84942,ysabelly,1.0,F,F,1,1
91462,juvecir,1.0,M,M,1,1
20853,edcler,0.5660377358490566,F,M,0,1
67689,railey,1.0,M,M,0,1
24131,elisianne,1.0,F,F,0,1
91577,filiciano,1.0,M,M,1,1
53534,lissa,1.0,F,F,1,1
10777,carmita,1.0,F,F,0,1
87987,julielison,1.0,M,M,0,1
42217,jaudeir,1.0,M,M,0,1
49058,kelrin,1.0,F,F,1,1
10857,carulini,1.0,F,F,0,1
31205,georgeano,1.0,M,M,1,1
12622,claudenice,0.9893364928909952,F,F,1,1
95527,dhenisson,1.0,M,M,1,1
45010,jonhatas,1.0,M,M,1,1
28136,everane,1.0,F,F,1,1
8672,aurici,1.0,F,F,1,1
57393,marineti,1.0,F,F,1,1
12125,cinele,1.0,F,F,0,1
27498,eumar,0.905918057663126,M,M,1,1
4570,alonzo,1.0,M,M,1,1
33082,gislaynne,1.0,F,F,1,1
19069,diniane,1.0,F,F,1,1
17964,deusuite,0.9552980132450332,F,F,1,1
63434,nilcelia,1.0,F,F,1,1
86467,riqelme,1.0,M,M,0,1
66378,ozenil,0.7066666666666667,M,M,1,1
78183,thiellen,1.0,F,F,1,1
77879,thanyse,1.0,F,F,1,1
40808,jaena,1.0,F,F,1,1
27578,eurenildes,1.0,F,F,1,1
3162,alcinea,1.0,F,F,0,1
61980,naynara,1.0,F,F,1,1
89694,kende,1.0,M,M,1,1
59108,melquior,1.0,M,M,1,1
11040,cauai,1.0,M,M,1,1
34994,hayme,1.0,F,F,1,1
99580,isena,1.0,F,F,1,1
73281,sarisa,1.0,F,F,1,1
6629,anteia,1.0,F,F,1,1
97927,gabryely,1.0,F,F,1,1
75751,suecia,1.0,F,F,1,1
45474,joseberg,1.0,M,M,1,1
13448,clemence,1.0,F,F,1,1
49921,kiuvia,1.0,F,F,1,1
94023,leiciele,1.0,F,F,0,1
70768,rondinelis,1.0,M,M,0,1
26048,erida,1.0,F,F,1,1
68460,rayland,1.0,M,M,1,1
80282,valmina,1.0,F,F,0,1
56148,mairy,1.0,F,F,1,1
80448,valteni,0.8943396226415095,M,M,1,1
19576,divanize,1.0,F,F,1,1
92809,eulesia,1.0,F,F,0,1
73952,shang,1.0,M,M,1,1
30313,geazir,1.0,M,F,1,1
95120,katilaine,1.0,F,F,0,1
96531,elife,1.0,M,M,0,1
7762,arna,1.0,F,F,1,1
80857,vandrea,1.0,F,F,1,1
78394,tilsa,1.0,F,F,1,1
97072,keulin,1.0,F,F,1,1
41533,janeire,1.0,F,F,0,1
87154,dantom,1.0,M,M,1,1
31503,gerlano,1.0,M,M,1,1
56888,margane,1.0,F,F,1,1
93745,nielci,1.0,F,F,1,1
96333,chafik,1.0,M,M,1,1
99681,estafanny,1.0,F,F,1,1
90476,aiaco,1.0,F,M,1,1
18496,diasis,1.0,M,M,1,1
57403,marineusa,1.0,F,F,1,1
46930,judiceia,1.0,F,F,1,1
4642,alsirio,1.0,M,M,1,1
49920,kitty,1.0,F,F,1,1
94488,mikey,1.0,M,M,1,1
27816,euzimara,1.0,F,F,1,1
20585,durvalina,0.9924595253936572,F,F,0,1
38635,iraniel,1.0,M,M,1,1
57987,marqueane,1.0,F,F,1,1
5089,amalry,1.0,M,M,1,1
57550,marismene,1.0,F,F,0,1
61262,naldia,1.0,F,F,1,1
83436,wendeu,0.9890206411945542,M,M,1,1
12361,clainton,1.0,M,M,1,1
6973,arandir,1.0,M,M,1,1
35946,herodes,1.0,M,M,1,1
98733,sandeli,1.0,F,F,1,1
5369,amyr,0.8058252427184466,M,M,1,1
69825,risolania,1.0,F,F,1,1
29660,francineis,0.6019417475728155,F,M,1,1
50606,lan,0.7557251908396947,M,M,1,1
92966,lituina,1.0,F,F,1,1
9436,benair,0.6381909547738693,F,F,0,1
29070,flasio,1.0,M,M,1,1
76451,tahisa,1.0,F,F,1,1
18140,devonice,1.0,F,F,1,1
18513,dicinei,1.0,M,M,0,1
50723,lariel,1.0,M,M,0,1
97139,yelen,1.0,F,F,1,1
61440,narciso,0.996386222473179,M,M,1,1
66693,pauliane,1.0,F,F,1,1
19711,djeniffer,1.0,F,F,0,1
60214,mitiele,1.0,F,F,0,1
36003,heryc,1.0,M,M,1,1
66561,pamylla,1.0,F,F,1,1
20701,eberval,1.0,M,M,1,1
85317,zelite,1.0,F,F,1,1
44804,joirce,1.0,F,F,1,1
22278,ednize,1.0,F,F,0,1
11024,catlen,1.0,F,F,1,1
46374,joventino,1.0,M,M,1,1
66058,osnival,1.0,M,M,1,1
75252,socrates,1.0,M,M,1,1
77769,thalisom,1.0,M,M,1,1
44522,joelma,0.995941152031022,F,F,0,1
13702,clerida,1.0,F,F,0,1
24594,elnir,0.7,F,F,0,1
34119,gracimere,1.0,F,F,0,1
51450,ledsom,1.0,M,M,1,1
88084,jiulha,1.0,F,F,1,1
71130,rosandra,1.0,F,F,1,1
80043,valdirleia,1.0,F,F,1,1
